,0
0,Colorado
1,Missouri
2,Idaho
3,Texas
4,Utah
5,New Jersey
6,Alabama
7,Massachusetts
8,South Dakota
9,Oregon
10,Tennessee
11,West Virginia
12,North Dakota
13,Indiana
14,Kentucky
15,New Mexico
16,Kansas
17,New Hampshire
18,Wisconsin
19,Montana
20,Maryland
21,Nebraska
22,Pennsylvania
23,Oklahoma
24,Georgia
25,Hawaii
26,Minnesota
27,Wyoming
28,Delaware
29,Mississippi
30,Connecticut
31,Illinois
32,North Carolina
33,Rhode Island
34,California
35,Arizona
36,Iowa
37,Michigan
38,Vermont
39,Virginia
40,Washington
41,Maine
42,Louisiana
43,New York
44,Florida
45,Arkansas
46,South Carolina
47,Nevada
